,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of triples,1.0,***,0.43,***,-0.34,***,0.32,**,0.05,,,,-0.23,*,-0.11,,-0.23,*,-0.11,,-0.47,***,0.29,**,,,-0.36,***,0.28,**,0.51,***,-0.01,,0.49,***,-0.47,***,-0.63,***,,,0.2,*,-0.37,***,-0.12,,0.28,**,,,-0.12,,,,0.54,***,,,0.02,,0.51,***,-0.18,,0.18,,0.31,**,0.06,,0.06,,-0.47,***,-0.43,***,-0.03,,0.08,,0.12,,,,0.17,,0.53,***,0.4,*,0.88,***,0.59,***,0.62,***,1.0,***,0.33,***,0.31,**,,,-0.09,,0.02,,-0.08,,-0.45,***,0.38,***,,,0.16,,0.03,,,,,,0.02,,,,0.28,*,,,0.04,,0.47,***,-0.6,***,0.28,*,0.53,***,0.25,**,0.03,,0.48,***,0.48,***,0.19,,-0.46,***,0.46,***
Number of triples (metadata),0.43,***,1.0,***,0.09,,0.07,,0.16,,,,-0.02,,-0.02,,-0.02,,-0.02,,-0.01,,0.42,***,,,0.14,,0.37,***,0.42,***,-0.16,,0.33,**,-0.13,,-0.0,,,,-0.12,,0.14,,0.11,,0.17,,,,0.01,,,,0.31,*,,,0.04,,0.31,**,-0.15,,0.14,,0.11,,0.11,,0.1,,0.0,,0.06,,0.14,,0.14,,0.15,,,,0.25,**,0.32,**,0.28,,0.45,***,0.27,*,0.36,***,0.43,***,0.68,***,0.27,*,,,0.09,,0.12,,0.09,,-0.21,*,0.6,***,,,0.26,**,-0.2,*,,,,,-0.04,,,,0.07,,,,0.03,,0.13,,-0.07,,0.16,,0.1,,0.22,*,-0.18,,0.27,**,0.27,**,0.38,***,-0.26,**,0.14,
Accuracy,-0.34,***,0.09,,1.0,***,0.13,,0.33,***,,,-0.0,,-0.03,,-0.0,,-0.03,,0.07,,-0.03,,,,0.14,,0.11,,0.33,***,-0.25,**,0.04,,-0.14,,,,,,-0.03,,0.11,,0.47,***,0.44,***,,,-0.1,,,,-0.21,,,,0.01,,-0.09,,0.1,,0.4,***,0.2,,0.03,,0.03,,-0.24,*,-0.04,,-0.19,,0.05,,0.04,,,,0.45,***,-0.25,*,,,0.13,,0.04,,0.06,,-0.34,***,-0.0,,0.09,,,,0.19,*,0.11,,0.45,***,0.0,,0.05,,,,0.45,***,0.05,,,,,,0.12,,,,-0.08,,,,,,0.09,,0.15,,,,-0.14,,0.38,***,0.0,,0.04,,0.04,,0.2,*,0.16,,0.24,*
Age of data,0.32,**,0.07,,0.13,,1.0,***,0.05,,,,-0.19,,0.09,,-0.19,,0.09,,-0.31,**,-0.04,,,,-0.4,***,0.14,,0.41,***,,,0.21,,-0.79,***,0.39,*,,,0.2,,-0.43,***,-0.02,,0.19,,,,-0.13,,,,0.31,,,,0.06,,0.33,*,0.0,,0.2,,0.38,**,0.06,,0.04,,-0.29,*,-0.53,***,-0.1,,0.11,,0.11,,,,0.39,***,0.32,**,0.47,**,0.38,**,0.37,**,0.2,,0.32,**,0.04,,-0.2,,,,0.04,,0.08,,-0.04,,-0.51,***,0.02,,,,0.4,***,0.06,,,,,,0.08,,,,-0.02,,,,0.01,,0.34,**,-0.46,***,,,0.41,***,0.53,***,0.06,,0.08,,0.08,,0.29,*,-0.12,,0.73,***
Amount of data,0.05,,0.16,,0.33,***,0.05,,1.0,***,,,0.04,,-0.35,***,0.04,,-0.35,***,-0.06,,-0.12,,,,-0.05,,0.06,,0.41,***,-0.03,,0.13,,-0.33,**,,,,,-0.11,,-0.05,,0.21,*,0.44,***,,,-0.17,,,,0.26,,,,0.21,*,0.07,,-0.04,,0.1,,0.19,,-0.09,,-0.08,,-0.48,***,-0.01,,-0.32,**,0.04,,0.16,,,,0.44,***,0.09,,0.25,,0.16,,,,0.11,,0.05,,0.09,,0.52,***,,,-0.07,,0.09,,0.12,,-0.17,,0.05,,,,0.44,***,-0.1,,,,,,-0.13,,,,0.48,***,,,0.21,,0.12,,-0.15,,0.41,***,0.21,*,0.26,**,-0.09,,0.23,*,0.23,*,0.08,,-0.03,,0.36,***
Author (metadata),,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability for download (metadata),-0.23,*,-0.02,,-0.0,,-0.19,,0.04,,,,1.0,***,-0.01,,1.0,***,-0.01,,0.37,***,-0.09,,,,0.15,,0.0,,-0.22,*,0.04,,0.04,,0.05,,-0.39,*,,,-0.26,**,0.17,,0.11,,-0.14,,,,0.05,,,,-0.2,,,,0.0,,-0.08,,0.03,,-0.07,,0.08,,-0.23,*,-0.24,*,0.18,,0.28,*,0.16,,-0.22,*,-0.2,*,,,-0.18,,-0.41,***,-0.3,,-0.18,,-0.09,,-0.12,,-0.23,*,0.16,,-0.09,,,,-0.28,**,-0.24,*,-0.3,**,-0.11,,0.11,,,,-0.18,,-0.04,,,,,,0.29,*,,,0.01,,,,-0.01,,-0.15,,-0.15,,0.0,,0.11,,-0.23,*,-0.02,,-0.0,,-0.0,,-0.13,,0.27,**,-0.08,
Availability for download (query),-0.11,,-0.02,,-0.03,,0.09,,-0.35,***,,,-0.01,,1.0,***,-0.01,,1.0,***,0.31,**,0.26,**,,,0.06,,-0.27,**,-0.26,**,-0.19,*,-0.24,*,-0.07,,0.89,***,,,-0.05,,0.05,,0.3,**,-0.21,*,,,0.2,,,,0.18,,,,0.12,,-0.01,,0.47,***,0.3,*,0.23,*,0.15,,0.14,,-0.04,,-0.29,*,-0.21,,0.07,,0.11,,,,-0.03,,0.16,,-0.2,,-0.06,,0.13,,0.26,**,-0.11,,-0.06,,0.02,,,,0.16,,0.17,,0.1,,-0.14,,-0.06,,,,-0.03,,-0.15,,,,,,0.12,,,,-0.28,*,,,-0.24,*,-0.22,*,0.07,,-0.08,,-0.37,***,0.17,,-0.12,,-0.05,,-0.05,,0.5,***,0.44,***,-0.11,
Availability of RDF dump (metadata),-0.23,*,-0.02,,-0.0,,-0.19,,0.04,,,,1.0,***,-0.01,,1.0,***,-0.01,,0.37,***,-0.09,,,,0.15,,0.0,,-0.22,*,0.04,,0.04,,0.05,,-0.39,*,,,-0.26,**,0.17,,0.11,,-0.14,,,,0.05,,,,-0.2,,,,0.0,,-0.08,,0.03,,-0.07,,0.08,,-0.23,*,-0.24,*,0.18,,0.28,*,0.16,,-0.22,*,-0.2,*,,,-0.18,,-0.41,***,-0.3,,-0.18,,-0.09,,-0.12,,-0.23,*,0.16,,-0.09,,,,-0.28,**,-0.24,*,-0.3,**,-0.11,,0.11,,,,-0.18,,-0.04,,,,,,0.29,*,,,0.01,,,,-0.01,,-0.15,,-0.15,,0.0,,0.11,,-0.23,*,-0.02,,-0.0,,-0.0,,-0.13,,0.27,**,-0.08,
Availability of RDF dump (query),-0.11,,-0.02,,-0.03,,0.09,,-0.35,***,,,-0.01,,1.0,***,-0.01,,1.0,***,0.31,**,0.26,**,,,0.06,,-0.27,**,-0.26,**,-0.19,*,-0.24,*,-0.07,,0.89,***,,,-0.05,,0.05,,0.3,**,-0.21,*,,,0.2,,,,0.18,,,,0.12,,-0.01,,0.47,***,0.3,*,0.23,*,0.15,,0.14,,-0.04,,-0.29,*,-0.21,,0.07,,0.11,,,,-0.03,,0.16,,-0.2,,-0.06,,0.13,,0.26,**,-0.11,,-0.06,,0.02,,,,0.16,,0.17,,0.1,,-0.14,,-0.06,,,,-0.03,,-0.15,,,,,,0.12,,,,-0.28,*,,,-0.24,*,-0.22,*,0.07,,-0.08,,-0.37,***,0.17,,-0.12,,-0.05,,-0.05,,0.5,***,0.44,***,-0.11,
