,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of triples,1.0,***,0.94,***,0.4,***,0.47,***,0.37,***,,,0.3,***,0.49,***,0.3,***,0.49,***,0.24,***,0.29,***,,,0.14,***,0.4,***,0.39,***,0.39,***,0.32,***,-0.6,***,,,-0.42,*,,,0.09,***,0.24,***,0.39,***,0.39,***,,,-0.14,***,,,0.48,***,,,0.44,***,0.44,***,-0.41,***,0.48,***,-0.08,,0.11,,0.11,,-0.27,**,-0.56,***,0.1,,0.13,,0.15,,,,0.61,***,0.35,***,0.67,***,0.88,***,0.71,***,0.72,***,1.0,***,0.6,***,-0.08,,,,0.4,***,0.15,***,0.39,***,0.4,***,0.42,***,,,0.61,***,0.4,***,,,0.62,***,-0.22,*,,,0.31,***,,,-0.1,,0.57,***,-0.38,***,0.17,,0.51,***,0.29,***,-0.09,,0.35,***,0.35,***,0.31,***,0.39,***,0.27,***
Number of triples (metadata),0.94,***,1.0,***,0.17,***,0.14,,0.18,***,,,0.22,***,0.19,*,0.22,***,0.19,*,0.12,***,0.34,***,,,0.12,***,0.2,***,0.21,***,0.22,***,0.38,***,-0.22,*,,,0.3,,,,0.11,***,0.3,***,0.16,***,0.2,***,,,-0.12,***,,,0.23,*,,,0.45,***,0.31,***,-0.28,***,0.08,,-0.03,,0.17,*,0.13,,0.1,,0.01,,0.28,***,0.21,**,0.21,**,,,0.51,***,0.18,*,0.48,***,0.51,***,0.42,***,0.42,***,0.58,***,0.64,***,-0.05,,,,0.16,***,0.16,***,0.2,***,0.17,***,0.46,***,,,0.5,***,0.16,***,,,0.24,***,-0.21,*,,,0.15,,,,-0.01,,0.32,***,-0.14,,0.04,,0.15,,0.22,***,-0.31,***,0.14,,0.14,,0.2,***,0.18,***,0.15,***
Accuracy,0.4,***,0.17,***,1.0,***,0.43,***,0.9,***,,,0.35,***,0.27,***,0.35,***,0.27,***,0.53,***,-0.07,**,,,0.41,***,0.95,***,0.91,***,0.82,***,0.01,,-0.53,***,,,-0.37,*,,,-0.12,***,-0.14,***,0.92,***,0.91,***,,,-0.11,***,,,0.25,*,,,0.17,***,0.04,,-0.36,***,-0.03,,-0.1,,0.12,,0.13,,0.02,,-0.05,,0.38,***,0.25,**,0.28,***,,,0.51,***,-0.01,,0.47,***,0.6,***,0.47,***,0.35,***,0.52,***,0.13,***,-0.26,**,,,0.99,***,-0.03,,0.91,***,0.95,***,0.07,**,,,0.51,***,1.0,***,,,0.96,***,-0.39,***,,,0.14,,,,0.22,**,0.79,***,-0.1,,0.08,,0.19,*,0.29,***,-0.07,,-0.04,,-0.04,,0.51,***,0.9,***,0.54,***
Age of data,0.47,***,0.14,,0.43,***,1.0,***,0.37,***,,,0.18,*,0.67,***,0.18,*,0.67,***,-0.11,,0.23,*,,,-0.23,*,-0.13,,0.41,***,,,0.21,*,-0.76,***,,,-0.29,,,,0.14,,-0.24,**,0.09,,0.22,*,,,-0.02,,,,0.26,*,,,0.19,*,0.16,,-0.21,*,0.18,,-0.02,,0.08,,0.08,,-0.16,,-0.52,***,0.21,*,0.1,,0.14,,,,0.48,***,0.15,,-0.13,,0.52,***,0.4,***,0.31,***,0.47,***,0.1,,-0.35,***,,,-0.1,,0.25,**,-0.32,***,-0.54,***,0.22,*,,,0.48,***,0.01,,,,,,0.01,,,,0.03,,,,-0.1,,0.48,***,-0.17,,0.1,,0.44,***,0.56,***,0.01,,-0.03,,-0.03,,0.52,***,-0.06,,0.68,***
Amount of data,0.37,***,0.18,***,0.9,***,0.37,***,1.0,***,,,0.34,***,0.5,***,0.34,***,0.5,***,0.49,***,-0.09,***,,,0.38,***,0.82,***,0.85,***,0.8,***,0.03,,-0.71,***,,,,,,,-0.12,***,-0.12,***,0.87,***,0.83,***,,,-0.13,***,,,0.13,,,,0.18,***,0.0,,-0.11,,-0.06,,0.18,*,-0.09,,-0.08,,-0.17,*,0.1,,0.15,,0.09,,0.15,,,,0.48,***,-0.0,,0.1,,0.45,***,0.35,***,0.34,***,0.43,***,0.16,***,0.03,,,,0.89,***,-0.02,,0.83,***,0.85,***,0.08,***,,,0.48,***,0.89,***,,,0.85,***,-0.12,,,,0.24,**,,,0.35,***,0.44,***,-0.32,***,0.26,**,0.35,***,0.3,***,-0.01,,0.07,,0.07,,0.48,***,0.86,***,0.56,***
Author (metadata),,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability for download (metadata),0.3,***,0.22,***,0.35,***,0.18,*,0.34,***,,,1.0,***,0.15,,1.0,***,0.15,,0.8,***,-0.06,*,,,0.17,***,0.32,***,0.31,***,0.34,***,-0.03,,-0.12,,,,-0.45,**,,,-0.25,***,-0.09,***,0.32,***,0.3,***,,,-0.28,***,,,-0.16,,,,0.28,***,-0.09,,-0.06,,-0.06,,0.16,,-0.26,***,-0.25,***,-0.17,*,0.07,,-0.08,,-0.26,***,-0.26,***,,,0.59,***,-0.07,,-0.38,**,-0.09,,-0.22,**,-0.01,,-0.11,,0.13,***,-0.03,,,,0.34,***,0.13,***,0.3,***,0.37,***,-0.0,,,,0.59,***,0.35,***,,,0.6,***,0.24,**,,,0.13,,,,0.07,,0.02,,-0.1,,0.02,,0.03,,0.25,***,0.26,***,-0.02,,-0.02,,0.26,***,0.41,***,0.17,***
Availability for download (query),0.49,***,0.19,*,0.27,***,0.67,***,0.5,***,,,0.15,,1.0,***,0.15,,1.0,***,-0.21,**,0.38,***,,,-0.1,,-0.09,,0.36,***,0.31,***,0.39,***,-0.72,***,,,-0.53,***,,,0.19,*,-0.12,,0.36,***,0.3,***,,,0.08,,,,0.23,*,,,0.28,***,0.12,,-0.26,**,0.37,***,0.07,,-0.01,,-0.01,,-0.18,*,-0.44,***,0.17,,-0.05,,0.0,,,,0.35,***,0.11,,-0.11,,0.54,***,0.42,***,0.47,***,0.49,***,0.27,***,-0.16,,,,-0.16,*,0.25,**,-0.22,**,-0.66,***,0.39,***,,,0.35,***,0.0,,,,,,0.12,,,,0.03,,,,-0.05,,0.46,***,-0.27,**,0.11,,0.26,**,0.63,***,0.02,,0.08,,0.08,,0.68,***,-0.12,,0.54,***
Availability of RDF dump (metadata),0.3,***,0.22,***,0.35,***,0.18,*,0.34,***,,,1.0,***,0.15,,1.0,***,0.15,,0.8,***,-0.06,*,,,0.17,***,0.32,***,0.31,***,0.34,***,-0.03,,-0.12,,,,-0.45,**,,,-0.25,***,-0.09,***,0.32,***,0.3,***,,,-0.28,***,,,-0.16,,,,0.28,***,-0.09,,-0.06,,-0.06,,0.16,,-0.26,***,-0.25,***,-0.17,*,0.07,,-0.08,,-0.26,***,-0.26,***,,,0.59,***,-0.07,,-0.38,**,-0.09,,-0.22,**,-0.01,,-0.11,,0.13,***,-0.03,,,,0.34,***,0.13,***,0.3,***,0.37,***,-0.0,,,,0.59,***,0.35,***,,,0.6,***,0.24,**,,,0.13,,,,0.07,,0.02,,-0.1,,0.02,,0.03,,0.25,***,0.26,***,-0.02,,-0.02,,0.26,***,0.41,***,0.17,***
Availability of RDF dump (query),0.49,***,0.19,*,0.27,***,0.67,***,0.5,***,,,0.15,,1.0,***,0.15,,1.0,***,-0.21,**,0.38,***,,,-0.1,,-0.09,,0.36,***,0.31,***,0.39,***,-0.72,***,,,-0.53,***,,,0.19,*,-0.12,,0.36,***,0.3,***,,,0.08,,,,0.23,*,,,0.28,***,0.12,,-0.26,**,0.37,***,0.07,,-0.01,,-0.01,,-0.18,*,-0.44,***,0.17,,-0.05,,0.0,,,,0.35,***,0.11,,-0.11,,0.54,***,0.42,***,0.47,***,0.49,***,0.27,***,-0.16,,,,-0.16,*,0.25,**,-0.22,**,-0.66,***,0.39,***,,,0.35,***,0.0,,,,,,0.12,,,,0.03,,,,-0.05,,0.46,***,-0.27,**,0.11,,0.26,**,0.63,***,0.02,,0.08,,0.08,,0.68,***,-0.12,,0.54,***
